Name,Subscriber,View,Debut,Group,channel_name,channel_id
Momosuzu Nene,"1,040,000","104,995,323",2020/08/13,hololive,Nene Ch.桃鈴ねね,UCAWSyEs_Io8MtpY3m-zqILA
Sakamata Chloe,"1,020,000","84,698,611",2021/11/29,hololive,Chloe ch. 沙花叉クロヱ - holoX -,UCIBY1ollUsauvVi4hW4cumw
Shiranui Flare,"971,000","134,911,798",2019/08/07,hololive,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg
Luca Kaneshiro,"969,000","70,537,368",2021/12/20,NIJISANJI,Luca Kaneshiro【NIJISANJI EN】,UC7Gb7Uawe20QyFibhLl1lzA
Yuzuki Choco,"954,000","57,689,957",2018/09/05,hololive,Choco Ch. 癒月ちょこ,UC1suqwovbL1kzsoaZgFZLKg
La+ Darknesss,"930,000","105,276,459",2021/11/26,hololive,Laplus ch. ラプラス・ダークネス - holoX -,UCENwRMx5Yh42zWpzURebzTw
IRyS,"918,000","72,221,490",2021/07/11,hololive,IRyS Ch. hololive-EN,UC8rcEBzJSleTkf_-agPM20g
Inuyama Tamaki,"915,000","283,600,840",2018/09/29,NoriPro,Tamaki Ch. 犬山たまき / 佃煮のりお,UC8NZiqKx6fsDT3AVcMiVFyA
Roboco,"911,000","80,605,894",2018/03/04,hololive,Roboco Ch. - ロボ子,UCDqI2jOz0weumE8s7paEk6g
Hoshikawa Sara,"908,000","176,171,465",2019/10/19,NIJISANJI,星川サラ / Sara Hoshikawa,UC9V3Y3_uzU5e-usObb6IE1w
Himemori Luna,"906,000","73,427,429",2020/01/04,hololive,Luna Ch. 姫森ルーナ,UCa9Y57gfeY0Zro_noHRVrnw
Ike Eveland,"902,000","39,059,618",2021/12/20,NIJISANJI,Ike Eveland【NIJISANJI EN】,UC4yNIKGvy-YUrwYupVdLDXA
Ironmouse,"886,000","53,507,469",2017/08/05,VShojo,ironmouse,UChgPVLjqugDQpRLWvC7zzig
Kenmochi Toya,"880,000","153,976,377",2018/03/14,NIJISANJI,剣持刀也,UCv1fFr156jc65EMiLbaLImw
Hakui Koyori,"861,000","160,451,427",2021/11/28,hololive,Koyori ch. 博衣こより - holoX -,UC6eWCld0KwmyHFbAqK3V-Rw
Shu Yamino,"859,000","39,795,054",2021/12/20,NIJISANJI,Shu Yamino【NIJISANJI EN】,UCG0rzBZV_QMP4MtWg6IjhEA
Ouro Kronii,"851,000","51,404,941",2021/08/23,hololive,Ouro Kronii Ch. hololive-EN,UCmbs8T6MWqUHP1tIQvSgKrg
Mikeneko,"838,000","12,755,561",2022/04/24,Independent,みけねこch,UC54JqsuIbMw_d1Ieb4hjKoQ
Sasaki Saku,"827,000","186,202,564",2018/07/07,NIJISANJI,笹木咲 / Sasaki Saku,UCoztvTULBYd3WmStqYeoHcA
Yozora Mel,"815,000","42,959,961",2018/05/13,hololive,Mel Channel 夜空メルチャンネル,UCD8HOxPs4Xvsm8H0ZxXGiBw
Nanashi Mumei,"812,000","62,591,406",2021/08/23,hololive,Nanashi Mumei Ch. hololive-EN,UC3n5uGu18FoCy23ggWWp8tA
Shibuya HAL,"805,000","447,976,578",2018/05/06,Neo-Porte,渋谷ハル,UChLfthKoUV502J7gU9STArg
Ayunda Risu,"804,000","55,554,483",2020/04/10,hololive,Ayunda Risu Ch. hololive-ID,UCOyYb1c43VlX9rc_lT6NKQw
Fuwa Minato,"788,000","250,643,401",2019/11/30,NIJISANJI,不破 湊 / Fuwa Minato【にじさんじ】,UC6wvdADTJ88OfIbJYIpAaDA
Ange Katrina,"765,000","134,779,243",2019/03/23,NIJISANJI,アンジュ・カトリーナ - Ange Katrina -,UCHVXbQzkl3rDfsXWo8xi2qw
AZKi,"761,000","49,222,631",2018/11/15,hololive,AZKi Channel,UC0TXe_LYZ4scaW2XMyi5_kw
Lize Helesta,"753,000","154,978,768",2019/03/23,NIJISANJI,リゼ・ヘルエスタ -Lize Helesta-,UCZ1xuCK1kNmn5RzPYIZop3w
Aki Rosenthal,"750,000","47,380,852",2018/06/07,hololive,アキロゼCh。Vtuber/ホロライブ所属,UCFTLzh12_nrtzqBPsTCqenA
Pavolia Reine,"745,000","53,477,788",2020/12/06,hololive,Pavolia Reine Ch. hololive-ID,UChgTyjG-pdNvxxhdsXfHQ5Q
Yashiro Kizuku,"731,000","186,425,952",2018/06/06,NIJISANJI,社築,UCKMYISTJAQ8xTplUPHiABlA
Inui Toko,"729,000","129,213,013",2019/03/23,NIJISANJI,戌亥とこ -Inui Toko-,UCXRlIK3Cw_TJIQC5kSJJQMg
Kazama Iroha,"727,000","65,566,328",2021/11/30,hololive,Iroha ch. 風真いろは - holoX,UC_vMYWcDjmfdpH6r4TTn1MQ
Mythia Batford,"717,000","34,362,439",2020/12/01,Independent,Mythia Batford #scuffgang,UCCK072ns5Bt1nYqX1CoaZ-g
Shylily,"715,000","21,268,322",2022/01/10,Independent,Shylily,UCFnXTeBpJRPSN6QmWz_uDgQ
Vestia Zeta,"712,000","27,636,528",2022/03/25,hololive,Vestia Zeta Ch. hololive-ID,UCTvHWSfBZgtxE4sILOaurIQ
Ars Almal,"710,000","149,168,664",2019/07/28,NIJISANJI,Ars almal -ars almal- [Nijisanji],UCdpUojq0KWZCN9bxXnZwz5w
Mayuzumi Kai,"709,000","116,240,113",2019/07/28,NIJISANJI,黛 灰 / Kai Mayuzumi【にじさんじ】,UCb5JxV6vKlYVknoJB8TnyYg
Ceres Fauna,"708,000","68,770,766",2021/08/23,hololive,Ceres Fauna Ch. hololive-EN,UCO_aKKYxn4tvrqPjcTzZ6EQ
Honma Himawari,"706,000","214,078,346",2018/07/11,NIJISANJI,本間ひまわり - Himawari Honma -,UC0g1AE0DOjBYnLhkgoRWN1w
Takane Lui,"702,000","101,272,292",2021/11/27,hololive,Lui ch. 鷹嶺ルイ - holoX -,UCs9_O1tRPMQTHQ-N_L6FU2g
Mirai Akari,"700,000","83,329,203",2017/10/27,GOOM STUDIO,Mirai Akari Project,UCMYtONm441rBogWK_xPH9HA
Hakos Baelz,"699,000","63,082,454",2021/08/23,hololive,Hakos Baelz Ch. hololive-EN,UCgmPnx-EEeOrZSg5Tiw7ZRQ
Selen Tatsuki,"698,000","69,452,816",2021/07/17,NIJISANJI,Selen Tatsuki 【NIJISANJI EN】,UCV1xUwfM2v2oBtT3JNvic3w
Airani Iofifteen,"688,000","25,780,974",2020/04/12,hololive,Airani Iofifteen Channel hololive-ID,UCAoy6rzhSf4ydcYjJw3WoVg
Amano Pikamee,"679,000","39,815,729",2020/03/19,VOMS Project,天野ピカミィ. Pikamee,UCajhBT4nMrg3DLS-bLL2RCg
Andi Adinata,"664,000","62,389,353",2019/10/22,MAHA5,Andi Adinata【MAHA5】,UC9QnAjC7mT4ggHuedr1_kqQ
Shiina Yuika,"662,000","167,117,843",2018/08/01,NIJISANJI,椎名唯華 / Shiina Yuika,UC_4tXjqecqox5Uc05ncxpxg
Higuchi Kaede,"661,000","113,600,470",2018/02/08,NIJISANJI,樋口楓【にじさんじ所属】,UCsg-YqdqQ-KFF0LNk23BY4A
Suou Patra,"652,000","223,420,276",2018/07/14,774 inc.,Patra Channel / 周防パトラ 【ななしいんく】,UCeLzT-7b2PBcunJplmWtoDg
Kagami Hayato,"642,000","144,999,055",2019/07/06,NIJISANJI,加賀美 ハヤト/Hayato Kagami,UCmovZ2th3Sqpd00F5RdeigQ
Yuki Chihiro,"639,000","188,533,052",2018/02/08,NIJISANJI,勇気ちひろ,UCLO9QDxVL4bnvRRsz6K4bsQ
Alban Knox,"628,000","32,175,181",2022/02/27,NIJISANJI,Alban Knox 【NIJISANJI EN】,UCQ1zGxHrfEmmW4CPpBx9-qw
Veibae,"625,000","29,865,862",2020/04/12,VShojo,Veibae,UCsBFeCb82qOXyUP19nmD9xw
Ryushen,"624,000","216,296,916",2018/06/08,NIJISANJI,緑仙 / Ryushen,UCt5-0i4AVHXaWJrL8Wql3mw
Anya Melfissa,"614,000","20,939,749",2020/12/05,hololive,Anya Melfissa Ch. hololive-ID,UC727SQYUvx5pDDGQpTICNWg
Machita Chima,"609,000","119,933,340",2018/09/03,NIJISANJI,町田ちま【にじさんじ】,UCo7TRj3cS-f_1D9ZDmuTsjw
