chan_name,subs,views,total_vid,channel_id,Name,Debut,Group,views_per_video
Coco Ch. 桐生ココ,1420000,183780578,815,UCS9uQI-jC3DE0L4IpXyvr6w,Kiryu Coco,2020/08/15,hololive,225497.6417177914
Luca Kaneshiro【NIJISANJI EN】,970000,70858290,365,UC7Gb7Uawe20QyFibhLl1lzA,Luca Kaneshiro,2021/12/20,NIJISANJI,194132.301369863
Shoto,1180000,76571276,141,UCgwJ4ReZqFOw_Y6eTEIunDQ,Shxtou,2021/10/02,Independent,543058.695035461
senzawa,1230000,122534760,25,UCTUHzVzRwN_2x13IWQ9QVNg,senzawa,2016/07/30,Independent,4901390.4
Mysta Rias 【NIJISANJI EN】,1050000,72572923,351,UCIM92Ok_spNKLVB5TsgwseQ,Mysta Rias,2021/12/20,NIJISANJI,206760.4643874644
Watame Ch. 角巻わため,1350000,267492490,1288,UCqm3BQLlJfvkTsX_hvm0UmA,Tsunomaki Watame,2019/12/29,hololive,207680.5046583851
Okayu Ch. 猫又おかゆ,1580000,286406427,846,UCvaTdHTWBGv3MKj3KVqJVCw,Nekomata Okayu,2019/04/06,hololive,338541.8758865248
SoraCh. ときのそらチャンネル,1080000,134236787,843,UCp6993wxpyDPHUpavwDFqgg,Tokino Sora,2017/09/07,hololive,159236.99525504152
Shion Ch. 紫咲シオン,1110000,146332566,533,UCXTpFs_3PqI41qX2d9tL2Rw,Murasaki Shion,2018/08/17,hololive,274545.15196998126
渋谷ハル,806000,448150761,2827,UChLfthKoUV502J7gU9STArg,Shibuya HAL,2018/05/06,Neo-Porte,158525.20728687654
Ayunda Risu Ch. hololive-ID,806000,55594351,747,UCOyYb1c43VlX9rc_lT6NKQw,Ayunda Risu,2020/04/10,hololive,74423.4953145917
Airani Iofifteen Channel hololive-ID,689000,25890822,690,UCAoy6rzhSf4ydcYjJw3WoVg,Airani Iofifteen,2020/04/12,hololive,37522.93043478261
Hakos Baelz Ch. hololive-EN,701000,63306235,456,UCgmPnx-EEeOrZSg5Tiw7ZRQ,Hakos Baelz,2021/08/23,hololive,138829.46271929826
Selen Tatsuki 【NIJISANJI EN】,699000,69938255,664,UCV1xUwfM2v2oBtT3JNvic3w,Selen Tatsuki,2021/07/17,NIJISANJI,105328.69728915663
Lui ch. 鷹嶺ルイ - holoX -,703000,101515125,688,UCs9_O1tRPMQTHQ-N_L6FU2g,Takane Lui,2021/11/27,hololive,147551.05377906977
町田ちま【にじさんじ】,610000,120516494,506,UCo7TRj3cS-f_1D9ZDmuTsjw,Machita Chima,2018/09/03,NIJISANJI,238174.88932806323
社築,732000,187075331,1083,UCKMYISTJAQ8xTplUPHiABlA,Yashiro Kizuku,2018/06/06,NIJISANJI,172738.07109879964
Iroha ch. 風真いろは - holoX -,729000,66033446,414,UC_vMYWcDjmfdpH6r4TTn1MQ,Kazama Iroha,2021/11/30,hololive,159501.077294686
Andi Adinata【MAHA5】,664000,62451546,543,UC9QnAjC7mT4ggHuedr1_kqQ,Andi Adinata,2019/10/22,MAHA5,115012.05524861878
黛 灰 / Kai Mayuzumi【にじさんじ】,709000,116278263,603,UCb5JxV6vKlYVknoJB8TnyYg,Mayuzumi Kai,2019/07/28,NIJISANJI,192832.94029850746
Ceres Fauna Ch. hololive-EN,709000,69091958,356,UCO_aKKYxn4tvrqPjcTzZ6EQ,Ceres Fauna,2021/08/23,hololive,194078.53370786516
本間ひまわり - Himawari Honma -,706000,214206410,1396,UC0g1AE0DOjBYnLhkgoRWN1w,Honma Himawari,2018/07/11,NIJISANJI,153442.9871060172
Ike Eveland【NIJISANJI EN】,903000,39190085,292,UC4yNIKGvy-YUrwYupVdLDXA,Ike Eveland,2021/12/20,NIJISANJI,134212.6198630137
剣持刀也,881000,154317982,425,UCv1fFr156jc65EMiLbaLImw,Kenmochi Toya,2018/03/14,NIJISANJI,363101.1341176471
Anya Melfissa Ch. hololive-ID,615000,20985064,582,UC727SQYUvx5pDDGQpTICNWg,Anya Melfissa,2020/12/05,hololive,36056.810996563574
Mythia Batford #scuffgang,719000,34689220,388,UCCK072ns5Bt1nYqX1CoaZ-g,Mythia Batford,2020/12/01,Independent,89405.206185567
Patra Channel / 周防パトラ 【ななしいんく】,653000,223903583,1919,UCeLzT-7b2PBcunJplmWtoDg,Suou Patra,2018/07/14,774 inc.,116677.21886399166
Luna Ch. 姫森ルーナ,907000,73689549,771,UCa9Y57gfeY0Zro_noHRVrnw,Himemori Luna,2020/01/04,hololive,95576.58754863813
Mirai Akari Project,704000,83391965,638,UCMYtONm441rBogWK_xPH9HA,Mirai Akari,2017/10/27,GOOM STUDIO,130708.40909090909
Shylily,716000,21365924,116,UCFnXTeBpJRPSN6QmWz_uDgQ,Shylily,2022/01/10,Independent,184189.0
アルス・アルマル -ars almal- 【にじさんじ】,710000,149404137,1234,UCdpUojq0KWZCN9bxXnZwz5w,Ars Almal,2019/07/28,NIJISANJI,121073.04457050243
樋口楓【にじさんじ所属】,667000,115293982,1139,UCsg-YqdqQ-KFF0LNk23BY4A,Higuchi Kaede,2018/02/08,NIJISANJI,101223.86479367866
Mel Channel 夜空メルチャンネル,815000,43185545,490,UCD8HOxPs4Xvsm8H0ZxXGiBw,Yozora Mel,2018/05/13,hololive,88133.76530612246
加賀美 ハヤト/Hayato Kagami,642000,145321813,868,UCmovZ2th3Sqpd00F5RdeigQ,Kagami Hayato,2019/07/06,NIJISANJI,167421.4435483871
Roboco Ch. - ロボ子,911000,80673207,1262,UCDqI2jOz0weumE8s7paEk6g,Roboco,2018/03/04,hololive,63924.886687797145
Shu Yamino【NIJISANJI EN】,860000,39954792,279,UCG0rzBZV_QMP4MtWg6IjhEA,Shu Yamino,2021/12/20,NIJISANJI,143207.13978494622
AZKi Channel,763000,49479492,328,UC0TXe_LYZ4scaW2XMyi5_kw,AZKi,2018/11/15,hololive,150852.10975609755
アキロゼCh。Vtuber/ホロライブ所属,750000,47417685,783,UCFTLzh12_nrtzqBPsTCqenA,Aki Rosenthal,2018/06/07,hololive,60558.9846743295
戌亥とこ -Inui Toko-,730000,129390646,638,UCXRlIK3Cw_TJIQC5kSJJQMg,Inui Toko,2019/03/23,NIJISANJI,202806.6551724138
Veibae,625000,29884659,117,UCsBFeCb82qOXyUP19nmD9xw,Veibae,2020/04/12,VShojo,255424.4358974359
ironmouse,890000,54345753,326,UChgPVLjqugDQpRLWvC7zzig,Ironmouse,2017/08/05,VShojo,166704.76380368098
Ouro Kronii Ch. hololive-EN,851000,51489688,254,UCmbs8T6MWqUHP1tIQvSgKrg,Ouro Kronii,2021/08/23,hololive,202715.30708661416
笹木咲 / Sasaki Saku,827000,186410379,999,UCoztvTULBYd3WmStqYeoHcA,Sasaki Saku,2018/07/07,NIJISANJI,186596.97597597598
Alban Knox 【NIJISANJI EN】,629000,32385097,350,UCQ1zGxHrfEmmW4CPpBx9-qw,Alban Knox,2022/02/27,NIJISANJI,92528.84857142858
天野ピカミィ. Pikamee,700000,40277941,0,UCajhBT4nMrg3DLS-bLL2RCg,Amano Pikamee,2020/03/19,VOMS Project,inf
不破 湊 / Fuwa Minato【にじさんじ】,789000,251256450,984,UC6wvdADTJ88OfIbJYIpAaDA,Fuwa Minato,2019/11/30,NIJISANJI,255341.92073170733
椎名唯華 / Shiina Yuika,662000,167339505,1471,UC_4tXjqecqox5Uc05ncxpxg,Shiina Yuika,2018/08/01,NIJISANJI,113759.01087695445
Koyori ch. 博衣こより - holoX -,862000,161572423,903,UC6eWCld0KwmyHFbAqK3V-Rw,Hakui Koyori,2021/11/28,hololive,178928.4861572536
Nanashi Mumei Ch. hololive-EN,814000,62653332,320,UC3n5uGu18FoCy23ggWWp8tA,Nanashi Mumei,2021/08/23,hololive,195791.6625
Pavolia Reine Ch. hololive-ID,746000,53593771,923,UChgTyjG-pdNvxxhdsXfHQ5Q,Pavolia Reine,2020/12/06,hololive,58064.757313109425
緑仙 / Ryushen,625000,216653694,773,UCt5-0i4AVHXaWJrL8Wql3mw,Ryushen,2018/06/08,NIJISANJI,280276.447606727
星川サラ / Sara Hoshikawa,908000,176442101,1067,UC9V3Y3_uzU5e-usObb6IE1w,Hoshikawa Sara,2019/10/19,NIJISANJI,165362.79381443298
アンジュ・カトリーナ - Ange Katrina -,765000,135011234,600,UCHVXbQzkl3rDfsXWo8xi2qw,Ange Katrina,2019/03/23,NIJISANJI,225018.72333333333
リゼ・ヘルエスタ -Lize Helesta-,753000,155255449,685,UCZ1xuCK1kNmn5RzPYIZop3w,Lize Helesta,2019/03/23,NIJISANJI,226650.2905109489
勇気ちひろ,639000,188894826,1503,UCLO9QDxVL4bnvRRsz6K4bsQ,Yuki Chihiro,2018/02/08,NIJISANJI,125678.52694610778
Vestia Zeta Ch. hololive-ID,715000,27818395,355,UCTvHWSfBZgtxE4sILOaurIQ,Vestia Zeta,2022/03/25,hololive,78361.67605633802
Tamaki Ch. 犬山たまき / 佃煮のりお,916000,284599480,1126,UC8NZiqKx6fsDT3AVcMiVFyA,Inuyama Tamaki,2018/09/29,NoriPro,252752.64653641207
IRyS Ch. hololive-EN,919000,72440138,322,UC8rcEBzJSleTkf_-agPM20g,IRyS,2021/07/11,hololive,224969.37267080744
みけねこch,838000,12770716,25,UC54JqsuIbMw_d1Ieb4hjKoQ,Mikeneko,2022/04/24,Independent,510828.64
